# N,  zmet, start, trunc, tau, theta 
       112  0.003  3.000 9.0000  0.700 -1.000
       113  0.003  3.000 9.0000  0.700 -1.730
       114  0.003  3.000 9.0000  0.700 -5.660
       115  0.003  3.000 9.0000  1.000 -1.000
       116  0.003  3.000 9.0000  1.000 -1.730
       117  0.003  3.000 9.0000  1.000 -5.660
       118  0.003  3.000 9.0000  1.300 -1.000
       119  0.003  3.000 9.0000  1.300 -1.730
       120  0.003  3.000 9.0000  1.300 -5.660
       121  0.003  3.000 9.0000  2.000 -1.000
       122  0.003  3.000 9.0000  2.000 -1.730
       123  0.003  3.000 9.0000  2.000 -5.660
       124  0.003  3.000 9.0000  9.000 -1.000
       125  0.003  3.000 9.0000  9.000 -1.730
       126  0.003  3.000 9.0000  9.000 -5.660
       127  0.003  3.000 11.0000  0.300 -1.000
       128  0.003  3.000 11.0000  0.300 -1.730
       129  0.003  3.000 11.0000  0.300 -5.660
       130  0.003  3.000 11.0000  0.700 -1.000
       131  0.003  3.000 11.0000  0.700 -1.730
       132  0.003  3.000 11.0000  0.700 -5.660
       133  0.003  3.000 11.0000  1.000 -1.000
       134  0.003  3.000 11.0000  1.000 -1.730
       135  0.003  3.000 11.0000  1.000 -5.660
       136  0.003  3.000 11.0000  1.300 -1.000
       137  0.003  3.000 11.0000  1.300 -1.730
       138  0.003  3.000 11.0000  1.300 -5.660
       139  0.003  3.000 11.0000  2.000 -1.000
       140  0.003  3.000 11.0000  2.000 -1.730
       141  0.003  3.000 11.0000  2.000 -5.660
       142  0.003  3.000 11.0000  9.000 -1.000
       143  0.003  3.000 11.0000  9.000 -1.730
       144  0.003  3.000 11.0000  9.000 -5.660
       145  0.003  3.000 13.0000  0.300 -1.000
       146  0.003  3.000 13.0000  0.300 -1.730
       147  0.003  3.000 13.0000  0.300 -5.660
       148  0.003  3.000 13.0000  0.700 -1.000
       149  0.003  3.000 13.0000  0.700 -1.730
       150  0.003  3.000 13.0000  0.700 -5.660
       151  0.003  3.000 13.0000  1.000 -1.000
       152  0.003  3.000 13.0000  1.000 -1.730
       153  0.003  3.000 13.0000  1.000 -5.660
       154  0.003  3.000 13.0000  1.300 -1.000
       155  0.003  3.000 13.0000  1.300 -1.730
       156  0.003  3.000 13.0000  1.300 -5.660
       157  0.003  3.000 13.0000  2.000 -1.000
       158  0.003  3.000 13.0000  2.000 -1.730
       159  0.003  3.000 13.0000  2.000 -5.660
       160  0.003  3.000 13.0000  9.000 -1.000
       161  0.003  3.000 13.0000  9.000 -1.730
       162  0.003  3.000 13.0000  9.000 -5.660
       163  0.003  5.000 9.0000  0.300 -1.000
       164  0.003  5.000 9.0000  0.300 -1.730
       165  0.003  5.000 9.0000  0.300 -5.660
       166  0.003  5.000 9.0000  0.700 -1.000
       167  0.003  5.000 9.0000  0.700 -1.730
       168  0.003  5.000 9.0000  0.700 -5.660
       169  0.003  5.000 9.0000  1.000 -1.000
       170  0.003  5.000 9.0000  1.000 -1.730
       171  0.003  5.000 9.0000  1.000 -5.660
       172  0.003  5.000 9.0000  1.300 -1.000
       173  0.003  5.000 9.0000  1.300 -1.730
       174  0.003  5.000 9.0000  1.300 -5.660
       175  0.003  5.000 9.0000  2.000 -1.000
       176  0.003  5.000 9.0000  2.000 -1.730
       177  0.003  5.000 9.0000  2.000 -5.660
       178  0.003  5.000 9.0000  9.000 -1.000
       179  0.003  5.000 9.0000  9.000 -1.730
       180  0.003  5.000 9.0000  9.000 -5.660
       181  0.003  5.000 11.0000  0.300 -1.000
       182  0.003  5.000 11.0000  0.300 -1.730
       183  0.003  5.000 11.0000  0.300 -5.660
       184  0.003  5.000 11.0000  0.700 -1.000
       185  0.003  5.000 11.0000  0.700 -1.730
       186  0.003  5.000 11.0000  0.700 -5.660
       187  0.003  5.000 11.0000  1.000 -1.000
       188  0.003  5.000 11.0000  1.000 -1.730
       189  0.003  5.000 11.0000  1.000 -5.660
       190  0.003  5.000 11.0000  1.300 -1.000
